Concept	Définition
Lame vibrante petite peau de métal, battue, étendue en long, que l'on place en la	maintenant par une de ses extrémités surune case sonore. On lui imprime la vibration, soit par le souffle, comme dans les orgues, soit par la percussion, comme dans les harmoniums. On donne également à ces lames le nom de anches libres.
Lamentabile, lamentable	Ce mot, que l'on fait précéder quelquefois par adagio ou largo, indique, même quand il est seul, un mouvement grave et une expression triste et pour ainsi dire désespérée.
Lamentations de Jérémie	Élégies que l'on chante dans la semaine sainte : trois le mercredi, trois le jeudi, et trois autres le vendredi. Ordinairement, en Italie sur tout, on les exécute en plain-chant avec accompagnement de viole, de violoncelle et de piano, ou bien en musique figurée à une seule voix, ou avec choeur, ou à plusieurs voix. Le même nom sert à indiquer les différentes compositions.
Landler	Espèce de valses en usage dans l'Autriche et dans quelques autres contrées de l'Allemagne. Leur mélodie, dont le caractère est d'une gaieté sautillante, s'exécute dans un mouvement modéré, en mesure à 2/4.
Landolfi (garlo)	Imitateur de Guarnerius, travaillait à Milan, de 1750 à 1760.
Langoureux	Ce mot indique un mouvement un peu lent et une exécution sans vibration et sans recherche dans les agréments.
Langue musicale	Gomme tous les arts libéraux, la musique peut être considérée sous un double point de vue : comme instrument de plaisir et comme moyen d'expression. Considérée sous ce dernier rapport, elle est un langage véritable qui, au moyen des sons et des silences, peint à l'oreille et traduit à l'intelligence la plupart des peines, des sentiments et des images que la parole exprime avec des mots : souvent même elle les traduit avec une profondeur et une énergie que cette dernière est incapable d'atteindre. La langue musicale possède tous les éléments et toutes les parties des autres langues ; elle a ses mots, sa grammaire élémentaire, sa syntaxe, sa poésie et sa théorie, sa philosophie et son histoire. L'étude des sons ou mots de la musique et des autres signes qu'elle emploie, constitue l'enseignement élémentaire de cet art. Il est assez connu ; nous n'en parlerons pas. La syntaxe musicale correspond à la syntaxe des langues proprement dites : c'est l'art de réunir convenablement les signes du langage musical pour en former des phrases correctes. Elle se divise en deux parties, dont l'une enseigne à écrire la mélodie, et l'autre l'harmonie. La littérature musicale correspond à la littérature proprement dite et se divise, comme elle, en deux parties essentiellement distinctes : la littérature générale qui traite, au point de vue musical, du bon goût, des styles, des écoles, du but et de la valeur réelle des règles, du classique, du romantique et de cent autres questions musicales dont l'énumération est inutile; et la littérature particulière qui enseigne à écrire convenablement chaque genre de musique. Cette dernière partie s'appelle aussi composition : on y attache ordinairement les règles de la mélodie. La philosophie de la musique consiste à rechercher les rapports secrets des sons avec nos sentiments et nos pensées. L'existence de ces rapports ne peut pas être contestée, puisque la musique exprime réellement des sentiments et des pensées au moyen des sons. C'est une science à peine ébauchée. Enfin, la musique et l'harmonie ont leur histoire, où les théories et les oeuvres pratiques, les théoriciens et les compositeurs, les tâtonnements de l'inexpérience, les bévues de l'erreur, les succès du talent et les progrès de la science musicale apparaissent tour à tour.
Languette	Nom du petit morceau de bois des sautereaux d'un clavecin ou d'une épinette, où se trouve introduit un morceau de plume de corbeau. C'est aussi le nom d'un petit morceau de métal mobile qui vibre dans les anches de certains jeux d'orgue. —On nomme également languette une petite soupape à ressort qui sert à ouvrir ou à fermer les trous de quelques instruments à Vent..
Lapa	Nom turc des tubes en cuivre, longs d'environ huit ou neuf pieds, se terminant comme nos trompettes et servant dans la musique.
La ré	Ces syllabes désignaient dans l'ancien solfége cette mutation d'après laquelle on se servait, en chantant, de la syllabe ré pour les sons la ré, et non de la syllabe la.
Largo	Ce mot, écrit à la tête d'un air, indique un mouvement plus lent que l'adagio, et le dernier de tous en lenteur. Le diminutif larghetto annonce un mouvement moins lent que largo et plus lent que l'andante. Le largo n'a souvent pas plus de lenteur que l'adagio; mais il a quelque chose de plus décidé dans le caractère. L'adagio semble devoir être plus onctueux, plus sensible, plus affectueux ; il a autant de noblesse que le largo, mais celui-ci a plus de fierté. Le largo convient à ce qui est religieux, l'adagio à ce qui est tendre et d'une tristesse passionnée.
Larigot	Jeu d'orgue, l'un des plus aigus. Il sonne la quinte au-dessus de la doublette. Ce jeu, qui est compris parmi les jeux à bouche, est d'étain et a quatre octaves et demie d'étendue, ce qui forme tout le clavier.
Larigot	Espèce de petit flageolet qui n'est plus en usage, il était ordinairement accompagné du son de tambourin.
Larynx	Organe de la voix. Il est situé sur la ligne médiane du corps, à la partie supérieure et antérieure du cou. Il a la forme d'un cône tronqué et renversé qui surmonte la trachée-artère avec laquelle il communique. Le larynx livre passage à l'air, par l'acte de la respiration, et il lui imprime certaines modifications qui constituent la voix.
La sol	Mutation des deux syllabes la et sol sur le son ré.
Lauda sion salvatorem	Suite de versets ou prose que l'on chante dans l'Église romaine, le jour de la FêteDieu.
Laudi, (laudes)	On entend par le mot italien Laudi, les cantiques que l'on chantait en Italie au temps de Laurent de Médicis, qui en composa plusieurs, et de saint Philippe de Néri. Ce genre de poésie était trèsestimé en Italie au quinzième siècle. La musique en était toujours simple ; on adapta quelquefois à ces compositions poétiques les ariettes profanes les plus goûtées.
Leçon	On désigne par ce mot tous les exercices qu'un maître prescrit à son élève, en lui enseignant à j ouer d'un instrument de musique. Les morceaux de musique imprimés sous le titre de leçons ne sont autre chose qu'un moyen de rappeler à l'élève les instructions du maître.
Leçons des nocturnes de l'office des morts	Leçons de la semaine sainte que l'on a coutume de chanter en musique figurée à voix seule, ou même à plusieurs voix avec choeurs.
Legato	Quand ce mot se trouve en tête ou dans le courant d'un morceau de musique, il faut en lier les notes avec soin. S'il y a sempre legato, il faut conserver jusqu'à la fin le même genre d'exécution.
Légende	Ce mot qui signifiait d'abord les versets que l'on récitait dans les leçons des matines, fut donné plus tard aux vies des saints et des martyrs, parce qu'on devait les lire dans les réfectoires et les chanter dans les chapelles des communautés. Des monastères, elles se répandirent parmi les fidèles, enthousiasmèrent leur zèle et le portèrent jusqu'au fanatisme. Tout ce que le peuple avait recueilli dans ses souvenirs ou poétisé dans son imagination trouva place dans ces histoires, qui sont la véritable mythologie du christianisme. Les traits d'héroïsme chrétien qu'on y trouve racontés avec une simple naïveté, parés du prestige de la poésie et de la musique, réchauffèrent la foi et la charité. Si l'histoire en a rejeté la plupart comme monuments apocryphes, elle leur doit à toutes profond respect et vive reconnaissance.
Légèrement	Cet adverbe indique qu'on doit toucher l'instrument doucement.
Lemme	Silence ou Pause d'un temps bref dans certain rhythme.
Lento	Ce mot signifie lentement, et marque un mouvement lent comme le largo. Les Allemands indiquent ce mouvement par langsaen, et les Anglais par slow.
Lepsis	Se disait chez les anciens grecs, d'une des parties de la melopée. C'est par la lepsis, que le compositeur discerne s'il doit placer le chant dans les tons bas ou aigus ou moyens.
Levé	C'est le temps de la mesure où on lève la main ou le pied. C'est toujours le dernier temps de la mesure; par conséquent les temps levés sont : à deux temps, le second ; à trois, le troisième; à quatre, le quatrième.
Liaison	Il y a liaison d'harmonie et liaison de chant. La liaison a lieu dans l'harmonie, lorsque celte harmonie procède par un tel progrès de sons fondamentaux, que quelques-uns des sons qui accompagnent celui qu'on quitte, demeurent et accompagnent celui où l'on passe. Il y a liaison dans les accords de la tonique et de la dominante, attendu que le même son sert de quinte à l'une, et d'octave à l'autre. Enfin, il y a liaison dissonante toutes les fois que la dissonance est préparée, puisque cette préparation elle-même n'est autre chose que la liaison. La liaison dans l'exécution instrumentale ou dans le chant a lieu toutes les fois qu'on passe deux ou plusieurs notes d'un seul coup d'archet, de langue ou de gosier, et se marque par un trait recourbé dont on couvre les notes qui doivent être liées ensemble.
Licences	Liberté que prend le compositeur et qui semble contraire aux règles, quoiqu'elle soit dans le principe des règles ; car voilà ce qui distingue les licences des fautes. Par exemple, c'est une règle générale de ne pas faire marcher deux quintes justes de suite entre les même parties et par un mouvement semblable. Berton a enfreint cette règle dans l'ouverture du Délire. C'est une licence qu'il a prise pour produire plus d'effet. Comme les règles de l'harmonie ont subi des modifications à mesure que l'art s'est perfectionné, ce qui était licence autrefois est permis aujourd'hui. Nous nous servons avec succès de la quinte augmentée, qui aurait offensé l'oreille de nos timides devanciers.
Lichara	Instrument unique d'une tribu de Cafres. C'est une espèce de flûte formée d'un roseau, accordée au moyen d'un petit tampon mobile placé à la partie inférieure, et ayant au bout supérieur une ouverture coupée transversalement. On ne peut rendre qu'un son sur cet instrument ; il y en a un pour chaque note, et lorsque plusieurs sons se trouvent réunis, une partie joue à l'unisson, pendant que les autres font entendre différents sons de l'échelle musicale. L'intervalle compris entre les plus hautes et les plus graves de ces flûtes est d'environ douze notes.
Liées	On appelle notes liées celles qu'on passe d'un seul coup d'archet sur le violon, ou d'un seul coup de langue sur les instruments à vent, en un mot, toutes les notes qui sont sous une même liaison.
Ligature	Se disait anciennement d'un groupes de notes réunies sous un trait; la valeur de ces notes variait selon leurs positions et leur formes.
Ligne	Les lignes de musique sont ces traits horizontaux et parallèles qui composent la portée, et sur lesquels, ou dans les espaces qui les séparent, on place les notes selon leurs degrés. La portée du plain-chant n'est que de quatre lignes, celle de la musique a cinq lignes stables et continues, outre les lignes additionnelles qu'on ajoute au-dessus et au-dessous de la portée, pour les notes qui passent son étendue. Les lignes, soit dans le plain-chant, soit dans la musique, se comptent en commençant par la plus basse. La plus basse est la première, la plus haute est la quatrième dans le plain-chant, la cinquième dans la musique.
Limma	Intervalle de la musique grecque, lequel est moindre d'un comma que le semi-ton majeur, et retranché d'un ton majeur, laisse pour reste l'apotome.
Linéographe	Instrument destiné à tracer des lignes de musique, imaginé en 1839 par Violette de Brest. Une molette en cuivre, portant sur sa circonférence une ou deux portées de musique.
Linon asma	Chanson funèbre des Egyptiens sur Manéros, appelé Linos par les Grecs. On croit qu'il était le fils du premier roi des anciens Egyptiens, et qu'il mourut à la fleur dé l'âge. D'autres écrivains disent Linus, fils d'Apollon et de Terpsichore; il substitua dans la lyre les cordes de boyau aux cordes de lin. Ce fut lui qui enseigna la musique à Hercule, mais le disciple ayant été reprimandé trop sévèrement, cassa la tête de son maître.
Lire	Lorsqu'on veut exécuter une partie que l'on n'a jamais vue, il faut d'abord s'être exercé à trois espèces de travaux intellectuels, nécessaires pour lire facilement à première vue, presque sans s'en apercevoir. On doit, en déchiffrant les notes, 1° embrasser d'un coup d'oeil l'alterna tion continuelle des sons aigus et des sons graves ; 2° les comparer et les classer selon leur valeur respective; et 3° rendre cette valeur relativement à la mesure indiquée. On appelle cette science : déchiffre?-, lire la musique.
Lirone	Etait comme la viola di Gomba, un instrument grave du système des violes.
Litanies	On désignait autrefois par ce mot le Kyrie eleison. Aujourd'hui encore les litanies commencent par le Kyrie eleison, mais comme on fait suivre les invocations en l'honneur de la Vierge, des saints, etc., on les appelle litanies de la Vierge, des saints, etc.
Lithographie	Depuis quelques années, la lithographie a été appliquée à la musique. Les planches d'étain au moyen d'un procédé, sont décalquées sur la pierre et la musique est reproduite avec une netteté irréprochable, soit par des presses à la main, soit par des presses à vapeur.
Livre ouvert, a livre ouvert	Chanter ou jouer à livre ouvert, c'est exécuter toute musique qu'on vous présente en jetant les yeux dessus, et par conséquent sans préparation. Loco. Lorsqu'après un passage marqué pour être exécuté à l'octave aiguë ou basse, on trouve ce mot latin ou italien loco, il signifie que l'on doit exécuter ce qui suit, au lieu même où les notes sont écrites sans transpositions d'octaves.
Lolichmium	Édifice public, situé près de la ville d'Olympie, qui était ouvert en tout temps à ceux qui voulaient prendre part au concours de musique.
Longue	C'était une note qui, dans la musique ancienne, valait quatre mesures ; dans le mode mineur parfait elle avait la valeur de trois brèves, et dans le mode mineur imparfait, de deux.
Lotues	Espèces de trompettes qui servaient dans les marches guerrières, que l'on trouve mentionnées dans l'orchérographie de Thoinot Arbeau écrite en 1589.
Loure	Nom que l'on donnait anciennement à une espèce de cornemuse.
Loure (danse)	Sorte de danse dont l'air était assez lent, et qui se marquait ordinairement par la mesure à sixquatre. Quand chaque temps porte trois notes, on pointe la première, et l'on fait brève celle du milieu ; ce qui est exactement le rhy thme de la sicilienne, qui semble avoir succédé à la loure.
Lourer	C'est nourir les sons avec douceur, et marquer la première note de chaque temps plus sensiblement que la seconde, quoique de même valeur, et en liant. Cette manière d'exécuter est encore en usage pour les pastorales et toutes les compositions qui ont le caractère rustique et montagnard.
Lucornario	Nom de l'antienne que l'on chante à vêpres, selon le rite ambroisien, avant le Dixit.
Lumière	On donne ce nom à une ouverture par laquelle le vent entre dans les tuyaux d'un orgue.
Lura	Instrument des anciens Grecs, dont plus tard on a fait lyre, c'est le même que le xélus. (Voir ce mot).
Lustre, (chevaliers du)	Nom donné par ironie aux claqueurs à gage d'un théâtre, parce qu'ils se placent ordinairement sous le lustre.
Luth	Instrument très-cultivé autrefois, et dont on ne joue plus depuis un siècle. La guitare et la harpe l'ont fait délaisser. Il était monté de vingt-quatre cordes sur un corps arrondi en dessous, en forme de tortue, et ressemblant à celui de la mandoline, qui en était le diminutif. Ces vingt-quatre cordes composaient treize groupes ; son manche était large et renversé dans son extrémité. Huit de ces cordes, placées en dehors du manche, ne se touchaient qu'à vide. Comme la lyre antique, le luth, en cessant de servir aux musiciens, a laissé son nom aux poètes, qui le font figurer souvent dans leurs stances, et même dans l'épopée.
Luthier	Artiste qui fait des violons, des violes, des violoncelles, des contre-basses, des guitares. Ce nom, qui signifie facteur de luths, est resté par synecdoche à ces sortes d'artistes, parce qu'autrefois le luth était l'instrument le plus commun et le plus répandu.
Lutrin	Pupitre de choeur sur lequel on met les livres de chant dans les églises. Ce mot vient de lectrum, dont on a fait lectrinum, de là lettrin, et puis lutrin par corruption : Sur ce rang d'ais serrés qui forment sa clôture. Fut jadis un lutrin d'inégale structure, Dont les flancs élargis de leur vaste contour Ombrageaient pleinement tous les lieux d'alentour. Derrière ce lutrin, ainsi qu'au fond d'un antre, A peine sur son banc on discernait le chantre, Tandis qu'à l'autre bout, le prélat radieux, Découvert au grand jour, attirait tous les yeux.
Boileau	— Le Lutrin.
Luttes musicales	Les anciens peuples professèrent une grande estime pour la musique. Les Grecs, particulièrement, la regardaient comme un des moyens nécessaires pour former l'éducation, et adoptaient, avec empressement, tout ce qui pouvait contribuer à ses progrès ; ils croyaient que des concours de musique, qui avaient lieu devant les assemblées nombreuses, étaient un des moyens les plus favorables pour arriver à ces résultats. On célébrait donc, à certaines époques, des fêtes populaires, où l'on délivrait des prix aux concurrents en musique. Les jeux olympiques, pythiques, néméens et isthmiques étaient les principales de ces l'êtes. (Voir ces mots.) Les juges appelés à porter un jugement sur le mérite des chanteurs qui se distinguaient dans le concours, leur décernaient pour prix une couronne de laurier ou de feuilles de chêne, et toute la Grèce les comblait d'honneurs et de gloire. On érigea même à quelques-uns des monuments aux frais de l'État. Plus tard, on introduisit aussi dans ces fêtes, des concours pour la musique instrumentale. Plusieurs fêtes solennelles, fondées par les anciens Romains, étaient également célébrées par des luttes musicales. Néron, surtout, constitua à Rome des concours de musique qui jetèrent un grand éclat.
Lydien	Nom d'un des Modes de la musique des Grecs, lequel occupait le milieu entre l'Eolien et l'Hyperdorien. Le caractère du mode Lydien était animé, piquant, mais pathétique et propre à la molesse, aussi Platon le bannit-il de la République.
Lyra	Instrument appartenant au système des violes, et qui en formait la basse.
Lyre	Instrument de musique, de forme triangulaire, dont la mythologie attribua l'invention à Mercure. Quelques auteurs ont accordé tour à tour l'honneur de sa découverte à Orphée, à Amphion, à Apollon, à Polymnice. D'autres ont dit que c'était une écaille de tortue, qu'Hercule vida, perça, et monta de cordes de boyaux, au son desquels il accordait sa voix. La lyre a beaucoup varié par le nombre de ses cordes ; celle d'Olympe et de Therpandre n'en avait que trois. L'addition d'une quatrième rendit letétracorde complet. Pollux attribue aux Scythes, l'invention du pentacorde. L'heptacordefut la lyre le plus en usage et la plus célèbre. Simonide ajouta une huitième corde, pour produire l'octave; et, plus tard, Timothée de Milet, contemporain de Philippe et d'Alexandre, multiplia les cordes jusqu'à douze. On les touchait de trois manières, ou en les pinçant avec les doigts, ou en les frappant avec le plectrum, espèce de baguette d'ivoire ou de bois poli, ou en pinçant les cordes de la main gauche, tandis qu'on les frappait de la droite armée du plectrum. Les anciens monuments représentent des lyres de différentes formes, montées depuis trois cordes jusqu'à vingt. Cette dernière ne servait, dit-on, que pour célébrer les dieux et les héros. On a essayé de faire revivre cet instrument, en lui donnant le manche de la guitare à six cordes. Sa forme élégante et pittoresque avait d'abord tenté nos belles musiciennes ; mais on est revenu à la guitare, qui est plus commode à tenir, et dont l'harmonie estplus pleine et plus agréable. La lyre et luth retentiront encore longtemps dans les oeuvres des poètes, quoique les progrès de l'art musical les aient condamnés à un éternel silence. Le violon a fait disparaître tous ces instruments imparfaits, qui n'étaient, en quelque sorte, que les essais des facteurs et des musiciens, les uns préludant à l'art de la lutherie, et les autres à celui de charmer l'oreille.
Lyre a bras	Instrument à archet, de la dimension de l'ancienne viole de ténor à sept cordes, et qui aujourd'hui n'est plus en usage.
Lyre allemande	Cet instrument, dont on ne se sert plus, consiste est une caisse de forme oblongue, ressemblant à la partie inférieure d'une viole d'amour. Aux parois latérales de cette lyre, il y a dix à douze touches qui servent à raccourcir les quatre cordes attachées dans l'intérieur de l'instrument, et forment une étendue de sons diatoniques qui égalent le nombre de touches. On fait résonner les cordes au moyen d'une roue frottée de colophane, que la main droite fait tourner avec un levier, tandis que les doigts de la gauche font mouvoir les touches.
Lyre barberina	Instrument inventé au dix-septième siècle, par un praticien florentin, nommé Donis, et dont on ne se sert plus depuis longtemps.
Lyre organisée	Put imaginée en 1806 par Le Dhuy, facteur à Coucy-le-Château. Les deux montants de l'instrument formaient manches et il en existait un troisième au milieu des deux autres. Cet instrument était monté de quinze cordes diverses sur les trois manches.
Lyre ventura	En 1851 Ventura donna ce nom à une guitare dont il doublait les six cordes dont cet instrument est ordinairement monté, de sorte que chaque note se composait de deux cordes.
Lyrique	Cette épithète se donnait autrefois à la poésie faite pour être chantée et accompagnée par le chanteur de la lyre ou de la cithare, comme les odes et autres chansons. Sous ce rapport, la poésie lyrique différait essentiellement de la poésie dramatique ou théâtrale, qui était accompagnée avec des flûtes, par d'autres que par le chanteur. Aujourd'hui l'épithète lyrique s'applique toujours aux odes, dithyrambes, chansons, couplets. Mais comme nous avons des pièces de théâtre qui se chantent, on appelle drame lyrique ou opéra, le drame expressément composé pour être mis en musique.
Lyro-guitare	Instrument inventé à Paris, au commencement de ce siècle, et qui a le manche de la guitare à six cordes. Sa forme élégante et pittoresque avait d'abord fait sa fortune; mais ensuite on en revint à la guitare, plus commode à tenir, et dont l'harmonie est plus pleine et plus agréable.
Macabre (danse)	Se dit d'une ronde infernale dansée par des morts de toutes conditions. Cette ronde se trouve représentée, au moyen-âge, dans un grand nombre de cimetières et sur les parois des vitrines des églises. Ces représentations sont fort intéressantes pour l'archéologie musicale, puisqu'elles fournissent les dessins des différents instruments employés à cette époque.
Machicotage	C'est ainsi qu'on appelle, dans le plainchant, certaines additions et compositions de notes qui remplissent, par une marche diatonique, les intervalles de tierces et autres. Le nom de cette manière de chant vient des ecclésiastiques appelés machicots, qui l'exécutaient autrefois après les enfants de choeur.
Madrigal	Sorte de pièce de musique travaillée et savante, qui était fort à la mode en Italie au seizième siècle. Les madrigaux se composaient pour les voix, à trois, quatre, cinq, six et même sept parties, toutes obligées, à cause des imitations et dessins dont ces pièces étaient remplies. Le style madrigalesque tient de la fugue, sans lui ressembler entièrement. La différence la plus essentielle consiste en ce que, même dans les madrigaux à voix seule, qui sont les plus sévères de tous, on prend des licences que la fugue proprement dite ne comporte pas. On donnne au chant des tournures légères et animées, et l'on suit le sentiment et l'expression des paroles, ce qui ne s'observe pas dans la fugue. La composition des madrigaux remonte à la plus haute antiquité. Les maîtres de l'école flamande s'y sont distingués; mais les auteurs qui ont atteint la perfection de ce genre sont : Adrien Willaërt, Palestrina, Luca Marenzino, Monteverbe, le prince de Venouse, enfin A. Scarlatti. Lotti, B. Marcello, Durante, Steffani ont excellé dans le madrigal accompagné, qui comporte plus de liberté que l'autre, à cause de la basse continue qu'on y ajoutait, mais qui exige, à raison de cela beaucoup plus d'expression.
Madrigalesque	Expression par laquelle on désignait au XVe siècle le contre-point vigoureux des madrigaux.
Maestoso, majestueux	Un morceau de musique de ce caractère demande un mouvement plus lent et une exécution semblable au grave.
Magade	Est une espèce de flûte ou de trompette ; la similitude des noms a souvent établi une confusion entre ces deux genre d'instruments.
Magadiser	Se disait anciennement au lieu de chanter à l'octave comme le font les voix d'hommes et d'enfants mêlées ensemble.
Magasin de musique	Boutique où l'on vend des livres, des compositions manuscrites et imprimées, des instruments de musique et tous les accessoires qui y ont rapport, tels que cordes, papier réglé, etc.
Magini (piestro santo)	fils du précédent continua l'état de son père de 1630 à 1680.
Magnificat	Nom d'un morceau de chant, dont les paroles ont été tirées du premier chapitre de saint Luc, et qui, dans la traduction latine commence ainsi : magnificat anima mea Dominum.
Magraphe	Instrument à vent des Hébreux qui, d'après la description donnée par le Talmud, ressemblait à notre orgue.
Maigre	Se dit d'une harmonie qui manque d'ampleur, qui est sèche et aride.
Main harmonique	C'est le nom que donna Guido à la gamme qu'il inventa, pour montrer le rapport de ses hexacordes, de ses six lettres et de ses six syllabes avec les cinq tétracordes des Grecs. Il représente cette gamme sous la figure d'une main gauche, sur les doigts de. laquelle étaient marqués tous les sons de la gamme, tant par lettres correspondantes, que par les syllabes qu'il y avait jointes, en passant, par la règle des nuances, d'un tétracorde ou d'un doigt à l'autre, selon le lieu où se trouvaient les deux demi-tons de l'octave par le bécarre ou par le bémol, c'est-à-dire selon que les tétracordes étaient conjoints ou disjoints.
Maître de musique	Musicien gagé pour composer de la musique ou la faire exécuter. C'est le maître de musique qui bat la mesure et dirige les musiciens. Il doit savoir la composition, quoiqu'il ne compose pas toujours la musique qu'il fait exécuter. On donne encore le nom de maître de musique au chef de la musique d'un régiment. Il fait partie de l'état-major, et a le rang d'officier.
Maîtrise	Logement réservé au maître de musique d'une cathédrale, et dans lequel un certain nombre de jeunes gens sont entretenus aux frais du chapitre, pour y recevoir une bonne éducation musicale, et être employés en même temps au service religieux comme enfants de choeur. Quand on songe à l'état de décadence dans lequel les maîtrises sont progressivement tombées dans notre pays, on n'est plus surpris que le goût et l'intelligence de l'art musical se perdent peu à peu dans nos provinces. Les bienfaits du Conservatoire ne s'étendent pas au-delà de l'enceinte de Paris ; tandis que, placées sur tous les points du royaume, les maîtrises offraient le moyen de recueillir et de cultiver les grands talents et les belles voix dans les lieux mêmes où la nature se plaisait à les produire. Depuis leur suppression presque totale, la pépinière des bons musiciens n'existe plus; l'art dégénère et languit dans nos départements. L'école de musique religieuse classique fondée en 1853 par M. Niedermeyer, quelque utile qu'elle soit, remplace difficilement les maîtrises qui s'étendaient sur toute la surface de notre pays catholique.
Majadis	Espèce de lyre en usage chez les anciens Grecs, qui avait vingt et une cordes selon le dire d'Atténie, accordées à l'octave deux par deux.
Majeur	Les intervalles susceptibles de variations sont appelés majeurs, quands ils sont aussi grands qu'ils doivent l'être, d'après la juste appréciation du système général des intervalles. L'octave, la quinte et la quarte ne varient pas sans devenir dissonances. Les autres intervalles peuvent, sans changer de nom et sans cesser d'être justes, varier de quatre manières différentes, auxquelles on donne le nom de : genres, dont deux sont selon la nature du mode où on les pratique, et deux sont artificiels, attendu qu'ils participent de deux modes à la fois. Ces quatres genres sont : diminué, mineur, 'majeur et augmenté. Les deux genres naturels sont le majeur et le mineur. Le diminué et l'augmenté forment les deux genres artificiels. Les intervalles variables sont au nombre de quatre, savoir : la seconde, la tierce, la sixte et la septième. Un intervalle majeur est toujours plus grand d'un demi-ton que le mineur. Un intervalle augmenté est plus grand d'un demi-ton que le majeur ; plus grand d'un ton que le mineur, et plus grand d'un ton et demi que le diminué; de même que l'intervalle diminué est moindre d'un demi-ton que le mineur, moindre d'un ton que le majeur, et moindre d'un ton et demi que l'intervalle augmenté. Majeur se dit aussi du mode, lorsque la tierce de la tonique est majeure, et alors seulement le mot mode ne fait que se sous-entendre. On désigne encore par le mot de majeur pris substantivement, la partie d'un air, d'un duo, d'une sonate, d'une symphonie qui se trouve traités en mode majeur.
Malgaches (musique chez les)	Les Malgaches ai ment beaucoup la musique et la danse. Celle-ci, grave chez les hommes, paraît souvent exprimer quelque action dramatique ; elle est mesurée, et les pas, rarement précipités, sont diversifiés suivant le caractère de l'air, comme les contredanses françaises. La danse des femmes, quelquefois gaie et lascive, ne consiste d'ordinaire qu'en un balencement du corps, avec de continuels mouvements des bras et des mains accompagnés d'un léger trépignement de pieds. Leur musique a un caractère de mélancolie tenant peut-être au sujet de leurs chansons qui roulent toujours sur l'amour. Les femmes ont la voix douce et mélodieuse, chantent en parties et font des accords suivis que l'on n'entend pas sans plaisir.
Manche	Pièce de bois collée à l'extrémité du corps de certains instruments à cordes, tels que le violon, le violoncelle, la guitare. Le manche sert à tenir l'instrument, porte les cordes et les chevilles, et c'est en posant les doigts sur ces cordes et en les pressant contre le manche, que l'on forme les différents tons.
Mandoline	Instrument de musique plus petit que le luth et de la même forme. Il s'accorde comme le violon, avec cette différence, que ses cordes sont de laiton et doubles. On en joue avec un petit morceau d'écorce de cerisier ou un bout de plume taillé comme un cure-dent plat. Le timbre de la mandoline est d'une finesse mordante qui la rend très-propre à accompagner les chants d'amour. Il y avait deux espèces de mandolines, l'une se nommait mandoline milanaise qui avait cinq rangs de cordes et la mandoline napolitaine qui n'en portait que quatre rangs. Le plus élevé avait des cordes en boyaux, le second des cordes d'acier, le troisième des cordes de cuivre tordu et le quatrième des cordes en boyaux recouvertes de fils d'argent.
Mandore ou mandille	Espèce de petit luth. Il se joue comme cet instrument, mais s'accorde différemment. La mandore n'a que huit groupes de cordes à boyau ; ce qui fait en tout seize cordes. La mandore n'est plus en usage depuis longtemps.
Maneros	Chant lugubre des anciens Égyptiens, appelé de Maner fils unique du premier roi d'Egypte qui mourut prématurément.
Manichordion	Sorte d'épinette dont les sautereaux étaient armés de petits morceaux de cuivre. Cet instrument était monté de soixante-dix cordes dont plusieurs à l'unisson étaient recouvertes de bandes de drap qui en rendait le son sourd et doux.
Marabba	Instrument à corde et à archet des Arabes, il est monté de deux cordes à l'unisson et dont le corps est recouvert des deux côtés d'une peau tendre.
Marche	Morceau de musique, composé pour être exécuté par un grand nombre d'instruments, pendant la marche d'une troupe militaire ou d'un cortége nombreux, et servant à régler le pas de ceux qui le composent. La marche est plus particulièrement du domaine de la musique militaire que de l'orchestre complet. Cependant on introduit souvent des marches dans les compositions dramatiques. Brillante et légère dans le style martial, majestueuse et solennelle dans le style religieux, triste et gémissante pour les pompes funèbres, la marche prend divers caractères, selon que sa destination change. La mesure de la marche est ordinairement à deux temps, et son mouvement allégro maestoso. Quelques marches religieuses d'un mouvement très-lent sont à trois temps. Dans le style militaire on distingue deux sortes de marches, savoir : la marche dont la mesure et le temps marquent le pas ordinaire, et la marche double, dont la mesure et les temps sont doublés ; son mouvement est du double plus rapide que celui de la marche. Une belle marche, exécutée par d'excellents musiciens, annonce d'une manière brillante la troupe qui va défiler sous les armes. Ces accents belliqueux, cette harmonie éclatante s'unissent admirablement aux idées qu'inspire l'appareil militaire. On croit assister aux anciens tournois. L'imagination nous transporte aux fêtes triomphales de la Grèce et de Rome. Mais laissons la musique guerrière pour nous occuper de la scène dramatique, où la marche paraît avec les plus grands avantages. Elle y prend une couleur différente, selon le temps et le lieu où se passe l'action scénique. Au théâtre, la marche se réunit souvent au choeur, et beaucoup de choeurs dramatiques, tels que ceux de la Vestale : De lauriers couvrons les chemins ; Périsse la vestale impie ! sont dessinés en marches. On appelle aussi marche un mouvement symétrique et régulier des diverses parties de l'harmonie.
Marche de basse	(Voyez le mot PROGRESSION).
